task,baseline_embed_regress_proj_t5,baseline_omnipred_24m,baseline_embed_regress_t5_m_cat_from_scratch,Expert_GA,Expert_Grad
AntMorphology-Exact-v0,-5.505071640014648,-103.36082458496094,,-70.71163749694824,-151.4508399963379
DKittyMorphology-Exact-v0,-38.78554058074951,211.0605735778809,,-501.7655563354492,-54.790340423583984
Superconductor-RandomForest-v0,44.9824447631836,46.89816474914551,,83.38557052612305,81.60628128051758
TFBind8-Exact-v0,0.6331768184900284,0.6410186588764191,,0.850639596581459,0.604564368724823
TFBind10-Exact-v0,0.0316901137121021,0.0554989678785204,,0.3178147599101066,0.1695447899401188
HopperController-Exact-v0,31.22253561019897,31.83082103729248,,175.89883041381836,219.2419052124024
gtopx_data_2_1,-155.85418130338965,,-163.08810751151393,-132.11158853128063,-308.9282488976118
gtopx_data_3_1,-100.16557718297004,,-189.05450549504843,-139.6835090080186,-151.18979217783007
gtopx_data_4_1,-22922.051512984726,,-248.6732775857944,-252.4757193194261,-215.7155676892416
gtopx_data_6_1,-109.22999538016172,,-59.88586465899813,-136.03429309522562,-112.59916211889862
KP_50,7.906377792358398,10.172571659088137,10.870912551879885,5.702070713043213,9.152992725372314
KP_100,28.54192352294922,26.328883171081543,26.70026588439941,14.86034870147705,26.69346284866333
KP_200,29.42841625213623,27.46013832092285,24.2103271484375,23.12790298461914,26.279874324798584
TSP_20,-11.793667078018188,-8.769644021987915,-11.036622762680054,-7.602347135543823,-10.526211977005005
TSP_50,-16.5560564994812,-15.281429529190063,-21.498565196990967,-8.335267305374146,-23.855902194976807
TSP_100,-33.845529556274414,-39.081153869628906,-33.38885498046875,-13.24498414993286,-49.565253257751465
LunarLander_136,-114.647208631024,,53.06954293353625,-441.8245694672698,
LunarLander_100,4.4000211005266525,,-125.1791877834922,,
LunarLander_148,-146.3080951282934,,-75.14669684092186,,
LunarLander_91,-17.31661853841076,,9.303492142376976,,
LunarLander_152,-10.13041229303275,,-39.01048624453848,,
LunarLander_117,2.305045363029912,,-69.52738665381048,,
LunarLander_174,-66.87077842183837,,-89.8872089200037,,
LunarLander_127,-91.19078546388128,,-92.44334593199622,,
LunarLander_60,-152.76366079188236,,-152.76366079188236,,
LunarLander_163,-117.39694135234863,,-137.28911686648658,,
LunarLander_86,-113.20823036610152,,-56.28997858128919,,
LunarLander_142,-80.98743142943692,,-107.42392453602427,,
LunarLander_113,78.68061172811899,,-98.5592822795859,,
LunarLander_155,121.43800370955807,,193.5728342584548,,
LunarLander_53,-26.7064537943691,,-8.68736474727523,,
LunarLander_159,-76.63694069667696,,-85.37983245747242,,
LunarLander_180,-61.15771522552273,,-93.28845391972531,,
LunarLander_103,-91.29020410207193,,-95.70292815474852,,
LunarLander_116,-33.33254049536592,,-57.025550435694655,,
RobotPush_256,-0.0152735295437049,,0.0037612439729924,,
RobotPush_210,0.7530048881187593,,0.0934257567156797,,
RobotPush_12,3.4532963391195257,,3.7582993799050897,,
RobotPush_125,0.0,,0.0,,
RobotPush_140,-0.9829502538365402,,-0.69061928911798,,
RobotPush_96,0.0255171199574955,,3.627252536814468,,
RobotPush_172,0.1232916112282348,,0.5861428629492792,,
RobotPush_182,0.0,,0.0,,
RobotPush_123,6.70453410554252,,6.544144590074555,,
RobotPush_22,2.209714126046296,,3.359954192404804,,
RobotPush_11,2.6274951431674127,,2.415688888786049,,
RobotPush_144,0.0,,0.1755473117989206,,
RobotPush_298,3.0977886133636003,,2.643365214375861,,
RobotPush_291,2.659067816085758,,1.449440286416693,,
RobotPush_90,1.9237002554758973,,0.6084541151112408,,
RobotPush_57,1.8130950445292355,,2.469395850736904,,
RobotPush_160,0.5070298597163755,,0.2879111087798124,,
RobotPush_250,-0.4116885941081389,,0.0,,
RobotPush_21,5.908936591287314,,5.096477174382846,,
RobotPush_100,3.4985156684446324,,6.090001778213425,,
Rover_107,-4.281083599897972,,-3.217116784174068,,
Rover_160,-6.304758659198917,,-3.7410500636199338,,
Rover_292,-9.281440912628357,,-10.80312259446108,,
Rover_130,-1.758007650561764,,-2.600440265194638,,
Rover_85,-5.682234879575771,,-6.290357011574357,,
Rover_54,-2.952971800088976,,-5.107943589879147,,
Rover_205,-2.6113004970563862,,-0.840821131571372,,
Rover_150,-8.087597251963363,,-11.107440554818425,,
Rover_97,-4.605720627921165,,-4.73688974920091,,
Rover_26,-5.86724741773927,,-6.689805817928312,,
Rover_215,-14.801850244917087,,-15.579737533468402,,
Rover_63,-18.447477546190484,,-18.303648477839765,,
Rover_294,-4.606032111240474,,-5.791447121039873,,
Rover_56,-3.9668788688786334,,-2.82734884113762,,
Rover_13,-13.711649653331728,,-9.858547880703917,,
Rover_135,-3.4905766181511533,,-4.180490203869281,,
Rover_82,-13.08559538553003,,-15.100665612251593,,
Rover_165,-14.883874637182616,,-12.33904493328114,,
Rover_252,-9.528329409395166,,-13.14340275550079,,
Rover_43,-10.29114230600858,,-14.54002229820637,,
HPOB_5906_9914,-0.9572080969810486,,-0.9461042881011964,-0.9461042881011964,-0.9445973634719848
HPOB_5906_9952,-0.8064317107200623,,-0.7478559613227844,-0.7088701725006104,-0.7229769229888916
HPOB_5906_3492,-0.5039300918579102,,-0.50042724609375,-0.4997987747192383,-0.4996509552001953
HPOB_5906_3493,-0.6562660336494446,,-0.6573482155799866,-0.6569874882698059,-0.6574530005455017
HPOB_5906_3954,-0.7701509594917297,,-0.7864047884941101,-0.6738144755363464,-0.6700559854507446
HPOB_5906_7295,-0.8323462009429932,,-0.8325017690658569,-0.7941262722015381,-0.8125625848770142
HPOB_5906_49,-0.6540536135435104,,-0.3678421974182129,-0.3421427607536316,-0.34766334295272827
HPOB_5906_14965,-0.8895407915115356,,-0.8911536931991577,,
HPOB_5906_14951,-0.5515798926353455,,-0.5508705377578735,,
HPOB_5906_31,-0.7224080115556717,,-0.7329497933387756,,
HPOB_5906_125923,-0.8264076113700867,,-0.5555681586265564,,
HPOB_5906_3,-0.8955082893371582,,-0.9212120175361632,,
HPOB_5906_3902,-0.8779227286577225,,-0.8859186172485352,,
